student_id,treated,transferred_mid_year,test_score
0,1,1,77.5
1,1,0,66.9
2,1,0,80.1
3,1,0,66.9
4,1,0,77.6
5,0,0,41.2
6,1,0,61.0
7,1,1,59.0
8,1,0,65.7
9,1,1,65.9
10,0,0,79.6
11,1,0,72.9
12,0,0,75.9
13,1,0,63.4
14,0,0,81.6
15,0,0,54.9
16,1,0,73.7
17,0,0,58.9
18,1,0,76.9
19,0,0,74.7
20,0,0,61.9
21,1,0,79.7
22,0,0,73.6
23,1,0,58.6
24,0,0,52.7
25,0,0,69.8
26,0,0,54.9
27,1,1,45.5
28,1,0,75.5
29,1,1,38.6
30,0,0,72.7
31,1,0,73.5
32,1,0,81.0
33,1,0,74.8
34,0,0,70.3
35,0,0,73.0
36,0,0,78.1
37,0,0,70.8
38,1,0,70.5
39,0,0,91.0
40,0,0,66.1
41,0,0,83.1
42,1,0,67.7
43,0,0,87.7
44,0,0,65.8
45,1,0,75.3
46,1,1,59.4
47,1,0,83.3
48,1,1,50.1
49,0,0,66.3
50,0,0,60.0
51,1,0,88.1
52,0,0,75.7
53,1,0,93.6
54,0,0,62.9
55,0,0,84.7
56,0,0,72.0
57,1,0,70.7
58,1,0,75.6
59,1,1,59.4
60,1,0,65.7
61,1,1,49.5
62,0,0,58.0
63,0,0,74.2
64,1,0,65.9
65,1,0,69.1
66,0,0,72.8
67,0,0,59.0
68,1,1,52.7
69,1,0,70.3
70,1,0,71.6
71,0,0,77.3
72,1,0,55.2
73,0,0,81.7
74,0,0,74.2
75,0,0,63.1
76,0,1,47.2
77,1,0,76.2
78,1,0,75.4
79,1,1,58.3
80,1,0,64.8
81,0,0,68.9
82,0,0,80.4
83,0,1,56.6
84,0,0,52.3
85,1,0,80.5
86,0,0,77.1
87,0,0,53.9
88,0,0,60.8
89,1,1,53.1
90,0,0,68.7
91,0,0,65.2
92,1,0,70.6
93,0,0,65.2
94,1,0,64.8
95,1,0,67.4
96,0,0,77.7
97,0,0,69.6
98,0,0,70.8
99,1,0,62.1
100,1,1,55.7
101,0,0,58.9
102,0,0,91.6
103,1,1,48.6
104,1,0,54.9
105,0,0,81.9
106,0,0,73.1
107,0,0,81.3
108,0,0,84.7
109,1,1,53.3
110,0,1,72.2
111,1,0,62.3
112,1,0,81.5
113,0,0,44.1
114,0,0,64.8
115,0,0,59.1
116,1,0,77.4
117,1,0,70.6
118,1,0,73.4
119,0,0,73.8
120,0,0,72.0
121,1,0,78.2
122,0,0,63.7
123,1,1,63.2
124,1,1,68.3
125,0,0,71.2
126,0,0,78.4
127,1,0,67.2
128,1,0,86.2
129,1,0,60.1
130,0,0,66.4
131,1,0,78.4
132,1,0,69.8
133,1,1,51.2
134,1,0,70.2
135,1,1,49.3
136,0,0,73.8
137,1,0,83.1
138,0,0,74.7
139,1,0,53.5
140,1,0,51.4
141,0,0,80.0
142,1,0,60.1
143,1,0,81.4
144,1,0,73.9
145,0,0,92.5
146,0,0,82.6
147,1,0,82.5
148,1,0,69.4
149,0,0,61.1
150,1,0,70.4
151,1,0,81.1
152,1,0,77.1
153,1,0,84.5
154,0,0,79.0
155,1,1,59.6
156,0,0,76.5
157,0,0,57.9
158,0,0,79.7
159,0,0,74.0
160,0,0,66.2
161,1,0,76.0
162,0,1,41.0
163,1,0,84.8
164,1,0,77.3
165,0,0,75.6
166,1,0,89.5
167,0,0,92.4
168,0,0,68.8
169,0,0,52.4
170,1,0,56.9
171,0,0,65.6
172,1,1,58.2
173,1,1,68.5
174,1,1,53.7
175,1,0,63.3
176,1,0,66.6
177,1,0,86.6
178,1,0,73.2
179,0,0,46.8
180,1,0,71.7
181,1,1,69.7
182,1,1,58.1
183,1,0,69.3
184,1,0,79.4
185,1,0,74.1
186,1,0,70.4
187,1,0,76.1
188,1,1,76.3
189,1,0,88.6
190,1,0,84.9
191,1,0,88.9
192,1,0,89.4
193,1,0,88.1
194,1,1,54.9
195,1,0,71.7
196,1,0,77.4
197,1,0,76.0
198,0,0,71.7
199,0,0,66.5
200,0,0,66.6
201,1,0,78.9
202,1,0,60.8
203,1,0,78.5
204,1,1,50.9
205,0,1,55.6
206,1,0,62.7
207,1,0,60.9
208,0,0,73.2
209,1,1,50.7
