county_id,month,outcome
C000,1,43.46946521498971
C000,2,44.29987461604807
C000,3,44.05045817431373
C000,4,43.39555664431927
C000,5,45.26536731114187
C000,6,47.04510182533202
C000,7,44.25318537536287
C000,8,43.888196588527215
C000,9,45.206940687984094
C000,10,45.57589954488921
C000,11,43.95263416983262
C000,12,46.47814786344454
C000,13,46.587410064038195
C000,14,45.61868735905668
C000,15,47.57758051499798
C000,16,47.279279377967725
C000,17,46.51043349957648
C000,18,47.42036893186346
C000,19,48.87051550038687
C000,20,50.792109202941866
C000,21,50.397836181857976
C000,22,51.302123256148604
C000,23,52.27957964476958
C000,24,51.21217152670336
C001,1,52.85653331113016
C001,2,56.050998109187496
C001,3,53.32712336648576
C001,4,53.80897645755864
C001,5,54.14205107358273
C001,6,53.67736823648067
C001,7,54.67225163121595
C001,8,54.57758983520473
C001,9,54.27377524801285
C001,10,54.668547174892524
C001,11,52.87903497417854
C001,12,56.45462624931817
C001,13,51.77791362063312
C001,14,55.974778889642344
C001,15,56.375594672212785
C001,16,54.013499829122914
C001,17,55.835529776187066
C001,18,59.05070936159201
C001,19,56.30168806466132
C001,20,55.66131632334372
C001,21,55.01464007511918
C001,22,58.59107266373234
C001,23,59.474388735694646
C001,24,57.58970304082758
C002,1,38.8267994949465
C002,2,44.59633502596684
C002,3,41.831815665912444
C002,4,39.136135615638835
C002,5,42.52692682803427
C002,6,41.94305515246097
C002,7,42.98208297475961
C002,8,43.280600284326276
C002,9,43.61145107607659
C002,10,43.43074011140408
C002,11,42.79332909205974
C002,12,42.60552721335161
C002,13,42.654676897018824
C002,14,41.65009116644176
C002,15,41.407784823422446
C002,16,43.309235629646814
C002,17,43.067324291364365
C002,18,46.52583845470902
C002,19,44.01210431527598
C002,20,46.199033013882605
C002,21,46.7258534416277
C002,22,46.05860395120577
C002,23,47.815336432448106
C002,24,46.33826560351076
C003,1,68.4077714109559
C003,2,68.16390740305962
C003,3,67.33223885895863
C003,4,67.1811272381735
C003,5,66.61373325080805
C003,6,68.8865099278502
C003,7,69.8641074815043
C003,8,68.0847045973258
C003,9,66.03686805939469
C003,10,69.07403111942757
C003,11,66.88700223150224
C003,12,65.63434831286466
C003,13,66.61642004951366
C003,14,68.31021386376331
C003,15,68.79770825178338
C003,16,67.02621860634176
C003,17,68.99006484056764
C003,18,69.08980083083694
C003,19,69.6805901494406
C003,20,70.28770421622494
C003,21,71.14297036059546
C003,22,74.00054978599005
C003,23,71.71040693840524
C003,24,73.53401323234777
C004,1,58.78423268811957
C004,2,58.30635163848622
C004,3,59.505807785232456
C004,4,56.44920047293375
C004,5,56.52245926886172
C004,6,57.31633351741721
C004,7,56.43595819385836
C004,8,60.832378052807464
C004,9,55.852329055836485
C004,10,57.91303979171211
C004,11,60.3143196588006
C004,12,56.720021454093896
